Id                               AverageCalories                  AverageSedentaryMinutes�1�      AverageLightlyActiveMinutes      AverageFairlyActiveMinutes      AverageVeryActiveMinutes0�      AverageSedentaryActiveDistance   AverageLightActiveDistance      AverageModeratelyActiveDistance  AverageVeryActiveDistance�      AverageStepTotal ��             weightLost_inKg                  weightLost_inLb                  
1503960366.000000                54324.000000                     25565.000000                     6490.000000                      581.000000                       1175.000000                      0.000000                         122.680001                       24.070000                        86.730000                        362457.000000                    9.071847                         20.000000                        
1624580081.000000                44552.000000                     37696.000000                     4612.000000                      180.000000                       269.000000                       0.190000                         75.500000                        11.180000                        29.120000                        169898.000000                    8.618255                         19.000000                        
1644430081.000000                81140.000000                     33725.000000                     5098.000000                      590.000000                       285.000000                       0.120000                         102.940001                       26.230000                        21.760000                        207795.000000                    7.711070                         17.000000                        
1844505072.000000                46748.000000                     36304.000000                     3240.000000                      40.000000                        4.000000                         0.000000                         46.640000                        1.520000                         0.260000                         73285.000000                     7.711070                         17.000000                        
1927972279.000000                65137.000000                     40106.000000                     1141.000000                      24.000000                        41.000000                        0.000000                         15.250000                        0.970000                         2.970000                         27722.000000                     8.164663                         18.000000                        
2022484408.000000                75419.000000                     33333.000000                     7754.000000                      586.000000                       1083.000000                      0.000000                         148.960000                       21.550000                        71.759999                        340615.000000                    8.164663                         18.000000                        
2026352035.000000                46301.000000                     20666.000000                     7775.000000                      0.000000                         0.000000                         0.000000                         104.320000                       0.000000                         0.000000                         168159.000000                    7.711070                         17.000000                        
2320127002.000000                51325.000000                     36711.000000                     5838.000000                      71.000000                        29.000000                        0.000000                         86.379999                        2.720000                         2.140000                         135498.000000                    9.071847                         20.000000                        
2347167796.000000                34438.000000                     11405.000000                     4225.000000                      357.000000                       215.000000                       0.000000                         71.790001                        18.730000                        17.070000                        161241.000000                    6.803886                         15.000000                        
2873212765.000000                57444.000000                     32952.000000                     9192.000000                      169.000000                       435.000000                       0.160000                         123.570001                       7.630000                         20.850000                        225433.000000                    6.803886                         15.000000                        
